id_resultado;id_amostra;codigo_amostra;data_coleta;hora_coleta;id_tipo_amostra;tipo_amostra;id_ponto_coleta;ponto_coleta;tipo_ponto;municipio;estado;id_responsavel;responsavel;id_status;status_amostra;id_parametro;parametro;categoria_parametro;valor_resultado;unidade_medida;data_analise;metodo_analise;id_limite;valor_minimo;valor_maximo;referencia_normativa;classificacao_resultado;possui_limite_referencia;indicador_nao_conforme
1;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;1;pH;Fisico-quimico;7.2000;;2026-04-04;Metodo didatico;1;6.0000;9.0000;Limite didatico do projeto;Conforme;1;0
2;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;2;Turbidez;Fisico-quimico;120.0000;NTU;2026-04-04;Metodo didatico;2;;100.0000;Limite didatico do projeto;Acima do limite maximo;1;1
3;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;3;Oxigenio Dissolvido;Fisico-quimico;5.8000;mg/L;2026-04-04;Metodo didatico;3;4.0000;;Limite didatico do projeto;Conforme;1;0
4;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;4;DBO;Materia organica;8.0000;mg/L;2026-04-04;Metodo didatico;4;;10.0000;Limite didatico do projeto;Conforme;1;0
5;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;5;DQO;Materia organica;25.0000;mg/L;2026-04-04;Metodo didatico;5;;30.0000;Limite didatico do projeto;Conforme;1;0
6;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;6;Coliformes Termotolerantes;Microbiologico;500.0000;NMP/100mL;2026-04-04;Metodo didatico;;;;;Sem limite de referencia;0;
7;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;7;Temperatura;Fisico-quimico;27.0000;C;2026-04-04;Metodo didatico;6;15.0000;35.0000;Limite didatico do projeto;Conforme;1;0
8;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;8;Condutividade;Fisico-quimico;420.0000;uS/cm;2026-04-04;Metodo didatico;7;;750.0000;Limite didatico do projeto;Conforme;1;0
9;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;9;Solidos Totais;Solidos;300.0000;mg/L;2026-04-04;Metodo didatico;8;;500.0000;Limite didatico do projeto;Conforme;1;0
10;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;10;Nitrogenio Amoniacal;Nutrientes;2.0000;mg/L;2026-04-04;Metodo didatico;9;;3.7000;Limite didatico do projeto;Conforme;1;0
11;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;11;Fosforo Total;Nutrientes;0.1200;mg/L;2026-04-04;Metodo didatico;;;;;Sem limite de referencia;0;
12;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;12;Cloro Residual Livre;Desinfeccao;0.3000;mg/L;2026-04-04;Metodo didatico;;;;;Sem limite de referencia;0;
13;2;QA-2026-002;2026-04-01;09:00:00;2;Agua Tratada;2;Saida ETA Central;Saida de tratamento;Cuiaba;MT;2;Carlos Mendes;3;Concluida;1;pH;Fisico-quimico;7.4000;;2026-04-05;Metodo didatico;10;6.0000;9.5000;Limite didatico do projeto;Conforme;1;0
14;2;QA-2026-002;2026-04-01;09:00:00;2;Agua Tratada;2;Saida ETA Central;Saida de tratamento;Cuiaba;MT;2;Carlos Mendes;3;Concluida;2;Turbidez;Fisico-quimico;2.0000;NTU;2026-04-05;Metodo didatico;11;;5.0000;Limite didatico do projeto;Conforme;1;0
15;2;QA-2026-002;2026-04-01;09:00:00;2;Agua Tratada;2;Saida ETA Central;Saida de tratamento;Cuiaba;MT;2;Carlos Mendes;3;Concluida;3;Oxigenio Dissolvido;Fisico-quimico;6.5000;mg/L;2026-04-05;Metodo didatico;;;;;Sem limite de referencia;0;
16;2;QA-2026-002;2026-04-01;09:00:00;2;Agua Tratada;2;Saida ETA Central;Saida de tratamento;Cuiaba;MT;2;Carlos Mendes;3;Concluida;4;DBO;Materia organica;3.0000;mg/L;2026-04-05;Metodo didatico;;;;;Sem limite de referencia;0;
17;2;QA-2026-002;2026-04-01;09:00:00;2;Agua Tratada;2;Saida ETA Central;Saida de tratamento;Cuiaba;MT;2;Carlos Mendes;3;Concluida;5;DQO;Materia organica;10.0000;mg/L;2026-04-05;Metodo didatico;12;;20.0000;Limite didatico do projeto;Conforme;1;0
18;2;QA-2026-002;2026-04-01;09:00:00;2;Agua Tratada;2;Saida ETA Central;Saida de tratamento;Cuiaba;MT;2;Carlos Mendes;3;Concluida;6;Coliformes Termotolerantes;Microbiologico;0.0000;NMP/100mL;2026-04-05;Metodo didatico;13;;1.0000;Limite didatico do projeto;Conforme;1;0
19;2;QA-2026-002;2026-04-01;09:00:00;2;Agua Tratada;2;Saida ETA Central;Saida de tratamento;Cuiaba;MT;2;Carlos Mendes;3;Concluida;7;Temperatura;Fisico-quimico;25.0000;C;2026-04-05;Metodo didatico;14;15.0000;35.0000;Limite didatico do projeto;Conforme;1;0
20;2;QA-2026-002;2026-04-01;09:00:00;2;Agua Tratada;2;Saida ETA Central;Saida de tratamento;Cuiaba;MT;2;Carlos Mendes;3;Concluida;8;Condutividade;Fisico-quimico;250.0000;uS/cm;2026-04-05;Metodo didatico;15;;500.0000;Limite didatico do projeto;Conforme;1;0
21;2;QA-2026-002;2026-04-01;09:00:00;2;Agua Tratada;2;Saida ETA Central;Saida de tratamento;Cuiaba;MT;2;Carlos Mendes;3;Concluida;9;Solidos Totais;Solidos;180.0000;mg/L;2026-04-05;Metodo didatico;16;;500.0000;Limite didatico do projeto;Conforme;1;0
22;2;QA-2026-002;2026-04-01;09:00:00;2;Agua Tratada;2;Saida ETA Central;Saida de tratamento;Cuiaba;MT;2;Carlos Mendes;3;Concluida;10;Nitrogenio Amoniacal;Nutrientes;0.8000;mg/L;2026-04-05;Metodo didatico;17;;1.5000;Limite didatico do projeto;Conforme;1;0
23;2;QA-2026-002;2026-04-01;09:00:00;2;Agua Tratada;2;Saida ETA Central;Saida de tratamento;Cuiaba;MT;2;Carlos Mendes;3;Concluida;11;Fosforo Total;Nutrientes;0.0500;mg/L;2026-04-05;Metodo didatico;18;;0.1000;Limite didatico do projeto;Conforme;1;0
24;2;QA-2026-002;2026-04-01;09:00:00;2;Agua Tratada;2;Saida ETA Central;Saida de tratamento;Cuiaba;MT;2;Carlos Mendes;3;Concluida;12;Cloro Residual Livre;Desinfeccao;0.1000;mg/L;2026-04-05;Metodo didatico;19;0.2000;2.0000;Limite didatico do projeto;Abaixo do limite minimo;1;1
25;3;QA-2026-003;2026-04-02;07:45:00;3;Esgoto Bruto;3;Entrada ETE Sul;Entrada de tratamento;Varzea Grande;MT;3;Fernanda Lima;3;Concluida;1;pH;Fisico-quimico;7.1000;;2026-04-06;Metodo didatico;20;6.0000;9.0000;Limite didatico do projeto;Conforme;1;0
26;3;QA-2026-003;2026-04-02;07:45:00;3;Esgoto Bruto;3;Entrada ETE Sul;Entrada de tratamento;Varzea Grande;MT;3;Fernanda Lima;3;Concluida;2;Turbidez;Fisico-quimico;180.0000;NTU;2026-04-06;Metodo didatico;;;;;Sem limite de referencia;0;
27;3;QA-2026-003;2026-04-02;07:45:00;3;Esgoto Bruto;3;Entrada ETE Sul;Entrada de tratamento;Varzea Grande;MT;3;Fernanda Lima;3;Concluida;3;Oxigenio Dissolvido;Fisico-quimico;1.0000;mg/L;2026-04-06;Metodo didatico;;;;;Sem limite de referencia;0;
28;3;QA-2026-003;2026-04-02;07:45:00;3;Esgoto Bruto;3;Entrada ETE Sul;Entrada de tratamento;Varzea Grande;MT;3;Fernanda Lima;3;Concluida;4;DBO;Materia organica;420.0000;mg/L;2026-04-06;Metodo didatico;21;;350.0000;Limite didatico do projeto;Acima do limite maximo;1;1
29;3;QA-2026-003;2026-04-02;07:45:00;3;Esgoto Bruto;3;Entrada ETE Sul;Entrada de tratamento;Varzea Grande;MT;3;Fernanda Lima;3;Concluida;5;DQO;Materia organica;600.0000;mg/L;2026-04-06;Metodo didatico;22;;700.0000;Limite didatico do projeto;Conforme;1;0
30;3;QA-2026-003;2026-04-02;07:45:00;3;Esgoto Bruto;3;Entrada ETE Sul;Entrada de tratamento;Varzea Grande;MT;3;Fernanda Lima;3;Concluida;6;Coliformes Termotolerantes;Microbiologico;100000.0000;NMP/100mL;2026-04-06;Metodo didatico;;;;;Sem limite de referencia;0;
31;3;QA-2026-003;2026-04-02;07:45:00;3;Esgoto Bruto;3;Entrada ETE Sul;Entrada de tratamento;Varzea Grande;MT;3;Fernanda Lima;3;Concluida;7;Temperatura;Fisico-quimico;29.0000;C;2026-04-06;Metodo didatico;23;15.0000;40.0000;Limite didatico do projeto;Conforme;1;0
32;3;QA-2026-003;2026-04-02;07:45:00;3;Esgoto Bruto;3;Entrada ETE Sul;Entrada de tratamento;Varzea Grande;MT;3;Fernanda Lima;3;Concluida;8;Condutividade;Fisico-quimico;1800.0000;uS/cm;2026-04-06;Metodo didatico;24;;2500.0000;Limite didatico do projeto;Conforme;1;0
33;3;QA-2026-003;2026-04-02;07:45:00;3;Esgoto Bruto;3;Entrada ETE Sul;Entrada de tratamento;Varzea Grande;MT;3;Fernanda Lima;3;Concluida;9;Solidos Totais;Solidos;900.0000;mg/L;2026-04-06;Metodo didatico;25;;1200.0000;Limite didatico do projeto;Conforme;1;0
34;3;QA-2026-003;2026-04-02;07:45:00;3;Esgoto Bruto;3;Entrada ETE Sul;Entrada de tratamento;Varzea Grande;MT;3;Fernanda Lima;3;Concluida;10;Nitrogenio Amoniacal;Nutrientes;60.0000;mg/L;2026-04-06;Metodo didatico;26;;80.0000;Limite didatico do projeto;Conforme;1;0
35;3;QA-2026-003;2026-04-02;07:45:00;3;Esgoto Bruto;3;Entrada ETE Sul;Entrada de tratamento;Varzea Grande;MT;3;Fernanda Lima;3;Concluida;11;Fosforo Total;Nutrientes;10.0000;mg/L;2026-04-06;Metodo didatico;27;;15.0000;Limite didatico do projeto;Conforme;1;0
36;3;QA-2026-003;2026-04-02;07:45:00;3;Esgoto Bruto;3;Entrada ETE Sul;Entrada de tratamento;Varzea Grande;MT;3;Fernanda Lima;3;Concluida;12;Cloro Residual Livre;Desinfeccao;0.0000;mg/L;2026-04-06;Metodo didatico;;;;;Sem limite de referencia;0;
37;4;QA-2026-004;2026-04-02;10:30:00;4;Esgoto Tratado;4;Saida ETE Sul;Saida de tratamento;Varzea Grande;MT;2;Carlos Mendes;3;Concluida;1;pH;Fisico-quimico;7.3000;;2026-04-07;Metodo didatico;28;6.0000;9.0000;Limite didatico do projeto;Conforme;1;0
38;4;QA-2026-004;2026-04-02;10:30:00;4;Esgoto Tratado;4;Saida ETE Sul;Saida de tratamento;Varzea Grande;MT;2;Carlos Mendes;3;Concluida;2;Turbidez;Fisico-quimico;40.0000;NTU;2026-04-07;Metodo didatico;29;;100.0000;Limite didatico do projeto;Conforme;1;0
39;4;QA-2026-004;2026-04-02;10:30:00;4;Esgoto Tratado;4;Saida ETE Sul;Saida de tratamento;Varzea Grande;MT;2;Carlos Mendes;3;Concluida;3;Oxigenio Dissolvido;Fisico-quimico;1.5000;mg/L;2026-04-07;Metodo didatico;30;2.0000;;Limite didatico do projeto;Abaixo do limite minimo;1;1
40;4;QA-2026-004;2026-04-02;10:30:00;4;Esgoto Tratado;4;Saida ETE Sul;Saida de tratamento;Varzea Grande;MT;2;Carlos Mendes;3;Concluida;4;DBO;Materia organica;45.0000;mg/L;2026-04-07;Metodo didatico;31;;60.0000;Limite didatico do projeto;Conforme;1;0
41;4;QA-2026-004;2026-04-02;10:30:00;4;Esgoto Tratado;4;Saida ETE Sul;Saida de tratamento;Varzea Grande;MT;2;Carlos Mendes;3;Concluida;5;DQO;Materia organica;120.0000;mg/L;2026-04-07;Metodo didatico;32;;180.0000;Limite didatico do projeto;Conforme;1;0
42;4;QA-2026-004;2026-04-02;10:30:00;4;Esgoto Tratado;4;Saida ETE Sul;Saida de tratamento;Varzea Grande;MT;2;Carlos Mendes;3;Concluida;6;Coliformes Termotolerantes;Microbiologico;800.0000;NMP/100mL;2026-04-07;Metodo didatico;33;;1000.0000;Limite didatico do projeto;Conforme;1;0
43;4;QA-2026-004;2026-04-02;10:30:00;4;Esgoto Tratado;4;Saida ETE Sul;Saida de tratamento;Varzea Grande;MT;2;Carlos Mendes;3;Concluida;7;Temperatura;Fisico-quimico;28.0000;C;2026-04-07;Metodo didatico;34;15.0000;40.0000;Limite didatico do projeto;Conforme;1;0
44;4;QA-2026-004;2026-04-02;10:30:00;4;Esgoto Tratado;4;Saida ETE Sul;Saida de tratamento;Varzea Grande;MT;2;Carlos Mendes;3;Concluida;8;Condutividade;Fisico-quimico;1200.0000;uS/cm;2026-04-07;Metodo didatico;;;;;Sem limite de referencia;0;
45;4;QA-2026-004;2026-04-02;10:30:00;4;Esgoto Tratado;4;Saida ETE Sul;Saida de tratamento;Varzea Grande;MT;2;Carlos Mendes;3;Concluida;9;Solidos Totais;Solidos;350.0000;mg/L;2026-04-07;Metodo didatico;35;;500.0000;Limite didatico do projeto;Conforme;1;0
46;4;QA-2026-004;2026-04-02;10:30:00;4;Esgoto Tratado;4;Saida ETE Sul;Saida de tratamento;Varzea Grande;MT;2;Carlos Mendes;3;Concluida;10;Nitrogenio Amoniacal;Nutrientes;12.0000;mg/L;2026-04-07;Metodo didatico;36;;20.0000;Limite didatico do projeto;Conforme;1;0
47;4;QA-2026-004;2026-04-02;10:30:00;4;Esgoto Tratado;4;Saida ETE Sul;Saida de tratamento;Varzea Grande;MT;2;Carlos Mendes;3;Concluida;11;Fosforo Total;Nutrientes;2.0000;mg/L;2026-04-07;Metodo didatico;37;;4.0000;Limite didatico do projeto;Conforme;1;0
48;4;QA-2026-004;2026-04-02;10:30:00;4;Esgoto Tratado;4;Saida ETE Sul;Saida de tratamento;Varzea Grande;MT;2;Carlos Mendes;3;Concluida;12;Cloro Residual Livre;Desinfeccao;0.0000;mg/L;2026-04-07;Metodo didatico;;;;;Sem limite de referencia;0;
49;5;QA-2026-005;2026-04-03;08:40:00;5;Corpo Hidrico;5;Rio Coxipo Montante;Corpo hidrico;Cuiaba;MT;1;Ana Ribeiro;3;Concluida;1;pH;Fisico-quimico;7.0000;;2026-04-08;Metodo didatico;38;6.0000;9.0000;Limite didatico do projeto;Conforme;1;0
50;5;QA-2026-005;2026-04-03;08:40:00;5;Corpo Hidrico;5;Rio Coxipo Montante;Corpo hidrico;Cuiaba;MT;1;Ana Ribeiro;3;Concluida;2;Turbidez;Fisico-quimico;25.0000;NTU;2026-04-08;Metodo didatico;39;;40.0000;Limite didatico do projeto;Conforme;1;0
51;5;QA-2026-005;2026-04-03;08:40:00;5;Corpo Hidrico;5;Rio Coxipo Montante;Corpo hidrico;Cuiaba;MT;1;Ana Ribeiro;3;Concluida;3;Oxigenio Dissolvido;Fisico-quimico;6.0000;mg/L;2026-04-08;Metodo didatico;40;5.0000;;Limite didatico do projeto;Conforme;1;0
52;5;QA-2026-005;2026-04-03;08:40:00;5;Corpo Hidrico;5;Rio Coxipo Montante;Corpo hidrico;Cuiaba;MT;1;Ana Ribeiro;3;Concluida;4;DBO;Materia organica;3.0000;mg/L;2026-04-08;Metodo didatico;41;;5.0000;Limite didatico do projeto;Conforme;1;0
53;5;QA-2026-005;2026-04-03;08:40:00;5;Corpo Hidrico;5;Rio Coxipo Montante;Corpo hidrico;Cuiaba;MT;1;Ana Ribeiro;3;Concluida;5;DQO;Materia organica;12.0000;mg/L;2026-04-08;Metodo didatico;42;;20.0000;Limite didatico do projeto;Conforme;1;0
54;5;QA-2026-005;2026-04-03;08:40:00;5;Corpo Hidrico;5;Rio Coxipo Montante;Corpo hidrico;Cuiaba;MT;1;Ana Ribeiro;3;Concluida;6;Coliformes Termotolerantes;Microbiologico;1500.0000;NMP/100mL;2026-04-08;Metodo didatico;43;;1000.0000;Limite didatico do projeto;Acima do limite maximo;1;1
55;5;QA-2026-005;2026-04-03;08:40:00;5;Corpo Hidrico;5;Rio Coxipo Montante;Corpo hidrico;Cuiaba;MT;1;Ana Ribeiro;3;Concluida;7;Temperatura;Fisico-quimico;26.0000;C;2026-04-08;Metodo didatico;44;15.0000;35.0000;Limite didatico do projeto;Conforme;1;0
56;5;QA-2026-005;2026-04-03;08:40:00;5;Corpo Hidrico;5;Rio Coxipo Montante;Corpo hidrico;Cuiaba;MT;1;Ana Ribeiro;3;Concluida;8;Condutividade;Fisico-quimico;400.0000;uS/cm;2026-04-08;Metodo didatico;45;;750.0000;Limite didatico do projeto;Conforme;1;0
57;5;QA-2026-005;2026-04-03;08:40:00;5;Corpo Hidrico;5;Rio Coxipo Montante;Corpo hidrico;Cuiaba;MT;1;Ana Ribeiro;3;Concluida;9;Solidos Totais;Solidos;250.0000;mg/L;2026-04-08;Metodo didatico;46;;500.0000;Limite didatico do projeto;Conforme;1;0
58;5;QA-2026-005;2026-04-03;08:40:00;5;Corpo Hidrico;5;Rio Coxipo Montante;Corpo hidrico;Cuiaba;MT;1;Ana Ribeiro;3;Concluida;10;Nitrogenio Amoniacal;Nutrientes;1.2000;mg/L;2026-04-08;Metodo didatico;;;;;Sem limite de referencia;0;
59;5;QA-2026-005;2026-04-03;08:40:00;5;Corpo Hidrico;5;Rio Coxipo Montante;Corpo hidrico;Cuiaba;MT;1;Ana Ribeiro;3;Concluida;11;Fosforo Total;Nutrientes;0.0800;mg/L;2026-04-08;Metodo didatico;47;;0.1500;Limite didatico do projeto;Conforme;1;0
60;5;QA-2026-005;2026-04-03;08:40:00;5;Corpo Hidrico;5;Rio Coxipo Montante;Corpo hidrico;Cuiaba;MT;1;Ana Ribeiro;3;Concluida;12;Cloro Residual Livre;Desinfeccao;0.0000;mg/L;2026-04-08;Metodo didatico;;;;;Sem limite de referencia;0;
61;6;QA-2026-006;2026-04-03;11:15:00;2;Agua Tratada;6;Reservatorio Bairro Leste;Reservatorio;Cuiaba;MT;4;Joao Pereira;3;Concluida;1;pH;Fisico-quimico;7.6000;;2026-04-09;Metodo didatico;10;6.0000;9.5000;Limite didatico do projeto;Conforme;1;0
62;6;QA-2026-006;2026-04-03;11:15:00;2;Agua Tratada;6;Reservatorio Bairro Leste;Reservatorio;Cuiaba;MT;4;Joao Pereira;3;Concluida;2;Turbidez;Fisico-quimico;8.0000;NTU;2026-04-09;Metodo didatico;11;;5.0000;Limite didatico do projeto;Acima do limite maximo;1;1
63;6;QA-2026-006;2026-04-03;11:15:00;2;Agua Tratada;6;Reservatorio Bairro Leste;Reservatorio;Cuiaba;MT;4;Joao Pereira;3;Concluida;3;Oxigenio Dissolvido;Fisico-quimico;6.8000;mg/L;2026-04-09;Metodo didatico;;;;;Sem limite de referencia;0;
64;6;QA-2026-006;2026-04-03;11:15:00;2;Agua Tratada;6;Reservatorio Bairro Leste;Reservatorio;Cuiaba;MT;4;Joao Pereira;3;Concluida;4;DBO;Materia organica;2.0000;mg/L;2026-04-09;Metodo didatico;;;;;Sem limite de referencia;0;
65;6;QA-2026-006;2026-04-03;11:15:00;2;Agua Tratada;6;Reservatorio Bairro Leste;Reservatorio;Cuiaba;MT;4;Joao Pereira;3;Concluida;5;DQO;Materia organica;12.0000;mg/L;2026-04-09;Metodo didatico;12;;20.0000;Limite didatico do projeto;Conforme;1;0
66;6;QA-2026-006;2026-04-03;11:15:00;2;Agua Tratada;6;Reservatorio Bairro Leste;Reservatorio;Cuiaba;MT;4;Joao Pereira;3;Concluida;6;Coliformes Termotolerantes;Microbiologico;0.0000;NMP/100mL;2026-04-09;Metodo didatico;13;;1.0000;Limite didatico do projeto;Conforme;1;0
67;6;QA-2026-006;2026-04-03;11:15:00;2;Agua Tratada;6;Reservatorio Bairro Leste;Reservatorio;Cuiaba;MT;4;Joao Pereira;3;Concluida;7;Temperatura;Fisico-quimico;24.0000;C;2026-04-09;Metodo didatico;14;15.0000;35.0000;Limite didatico do projeto;Conforme;1;0
68;6;QA-2026-006;2026-04-03;11:15:00;2;Agua Tratada;6;Reservatorio Bairro Leste;Reservatorio;Cuiaba;MT;4;Joao Pereira;3;Concluida;8;Condutividade;Fisico-quimico;320.0000;uS/cm;2026-04-09;Metodo didatico;15;;500.0000;Limite didatico do projeto;Conforme;1;0
69;6;QA-2026-006;2026-04-03;11:15:00;2;Agua Tratada;6;Reservatorio Bairro Leste;Reservatorio;Cuiaba;MT;4;Joao Pereira;3;Concluida;9;Solidos Totais;Solidos;210.0000;mg/L;2026-04-09;Metodo didatico;16;;500.0000;Limite didatico do projeto;Conforme;1;0
70;6;QA-2026-006;2026-04-03;11:15:00;2;Agua Tratada;6;Reservatorio Bairro Leste;Reservatorio;Cuiaba;MT;4;Joao Pereira;3;Concluida;10;Nitrogenio Amoniacal;Nutrientes;0.9000;mg/L;2026-04-09;Metodo didatico;17;;1.5000;Limite didatico do projeto;Conforme;1;0
71;6;QA-2026-006;2026-04-03;11:15:00;2;Agua Tratada;6;Reservatorio Bairro Leste;Reservatorio;Cuiaba;MT;4;Joao Pereira;3;Concluida;11;Fosforo Total;Nutrientes;0.2000;mg/L;2026-04-09;Metodo didatico;18;;0.1000;Limite didatico do projeto;Acima do limite maximo;1;1
72;6;QA-2026-006;2026-04-03;11:15:00;2;Agua Tratada;6;Reservatorio Bairro Leste;Reservatorio;Cuiaba;MT;4;Joao Pereira;3;Concluida;12;Cloro Residual Livre;Desinfeccao;0.8000;mg/L;2026-04-09;Metodo didatico;19;0.2000;2.0000;Limite didatico do projeto;Conforme;1;0
